"","species","stock","brood.yr","spawners","recruits","lat","long","region","entry.yr","era","sst1","sst2","sst3"
"723","Pink","NW AKPen.O",1989,1900,4609,54.982,163.37,"EBS",1990,"2",0.086611035,0.086611035,0.181151312
"724","Pink","NW AKPen.E",1990,22200,8919,54.982,163.37,"EBS",1991,"2",0.341453146,0.341453146,0.57994235
"725","Pink","NW AKPen.O",1991,1200,756,54.982,163.37,"EBS",1992,"2",-0.03272959,-0.03272959,-0.086245723
"726","Pink","NW AKPen.O",1993,700,6584,54.982,163.37,"EBS",1994,"2",0.64939676,0.64939676,-0.027173022
"727","Pink","NW AKPen.E",1994,94700,219767,54.982,163.37,"EBS",1995,"2",0.31014692,0.31014692,0.539337419
"728","Pink","NW AKPen.O",1995,5200,9936,54.982,163.37,"EBS",1996,"2",0.458501823,0.458501823,-0.060956371
"729","Pink","NW AKPen.E",1996,216600,145655,54.982,163.37,"EBS",1997,"2",0.664247246,0.664247246,1.462077265
"730","Pink","NW AKPen.O",1997,4800,15672,54.982,163.37,"EBS",1998,"2",0.611437305,0.611437305,0.635904643
"731","Pink","NW AKPen.E",1998,129500,53769,54.982,163.37,"EBS",1999,"2",-0.766705833,-0.766705833,-0.673571778
"732","Pink","NW AKPen.O",1999,14500,11057,54.982,163.37,"EBS",2000,"2",-0.213605503,-0.213605503,-0.036427088
"733","Pink","NW AKPen.E",2000,35900,15678,54.982,163.37,"EBS",2001,"2",1.060795524,1.060795524,0.555141847
"734","Pink","NW AKPen.O",2001,6900,1504,54.982,163.37,"EBS",2002,"2",0.852359551,0.852359551,1.334649555
